id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
71,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AGRIBISNIS,8223,UNIT,2016
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,11381,UNIT,2016
195,32,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN,4407,UNIT,2016
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA,23131,UNIT,2016
197,32,JAWA BARAT,3272,KOTA SUKABUMI,KERAJINAN,3474,UNIT,2016
102,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKSESORIS,7923,UNIT,2016
131,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AGRIBISNIS,7427,UNIT,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AGRIBISNIS,9560,UNIT,2016
212,32,JAWA BARAT,3274,KOTA CIREBON,AKSESORIS,2905,UNIT,2016
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,AGRIBISNIS,21233,UNIT,2016
26,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINUMAN,26598,UNIT,2016
228,32,JAWA BARAT,3275,KOTA BEKASI,JASA,19580,UNIT,2016
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,OBAT-OBATAN,1793,UNIT,2016
222,32,JAWA BARAT,3275,KOTA BEKASI,AKSESORIS,10864,UNIT,2016
54,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,INDUSTRI,48415,UNIT,2016
206,32,JAWA BARAT,3273,KOTA BANDUNG,MINUMAN,20013,UNIT,2016
36,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINUMAN,35767,UNIT,2016
184,32,JAWA BARAT,3271,KOTA BOGOR,INDUSTRI,15743,UNIT,2016
100,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,OBAT-OBATAN,4645,UNIT,2016
52,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKSESORIS,14369,UNIT,2016
125,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN,17783,UNIT,2016
127,32,JAWA BARAT,3213,KABUPATEN SUBANG,KERAJINAN,14927,UNIT,2016
201,32,JAWA BARAT,3273,KOTA BANDUNG,AGRIBISNIS,26399,UNIT,2016
23,32,JAWA BARAT,3203,KABUPATEN CIANJUR,FASHION,27688,UNIT,2016
215,32,JAWA BARAT,3274,KOTA CIREBON,MAKANAN,4532,UNIT,2016
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASHION,43230,UNIT,2016
178,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA,4966,UNIT,2016
231,32,JAWA BARAT,3276,KOTA DEPOK,AGRIBISNIS,14571,UNIT,2016
265,32,JAWA BARAT,3279,KOTA BANJAR,MAKANAN,3647,UNIT,2016
41,32,JAWA BARAT,3205,KABUPATEN GARUT,AGRIBISNIS,15287,UNIT,2016
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AGRIBISNIS,10786,UNIT,2016
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KULINER,18038,UNIT,2016
229,32,JAWA BARAT,3275,KOTA BEKASI,KULINER,22486,UNIT,2016
223,32,JAWA BARAT,3275,KOTA BEKASI,FASHION,23927,UNIT,2016
63,32,JAWA BARAT,3207,KABUPATEN CIAMIS,FASHION,19144,UNIT,2016
190,32,JAWA BARAT,3271,KOTA BOGOR,OBAT-OBATAN,2995,UNIT,2016
44,32,JAWA BARAT,3205,KABUPATEN GARUT,INDUSTRI,73678,UNIT,2016
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KULINER,28163,UNIT,2016
86,32,JAWA BARAT,3209,KABUPATEN CIREBON,MINUMAN,19577,UNIT,2016
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN,15231,UNIT,2016
185,32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN,8998,UNIT,2016
